K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
100,1.0,0.01,0.25,7195,1.0e-5,1.0e-5,0.0001,50,9,0.1,2857397534,1186547458,2433542240,1416972613,0.5
100,1.0,0.01,0.25,8753,1.0e-5,1.0e-5,0.0001,50,43,0.1,1093171506,3717620538,2717851434,9249043,0.5
100,1.0,0.01,0.25,14985,1.0e-5,1.0e-5,0.0001,50,44,0.1,1706730935,1124761301,3669219030,2176591778,0.5
100,1.0,0.01,0.25,4886,1.0e-5,1.0e-5,0.0001,50,23,0.1,4192992605,3703909902,2932444515,2588762758,5.0e-8
215,1.0,0.01,0.25,1318,1.0e-5,1.0e-5,0.0001,50,17,0.1,2829918243,394033965,2567105998,1719292838,0.05
215,1.0,0.01,0.25,1422,1.0e-5,1.0e-5,0.0001,50,21,0.1,2338735357,3600417756,548387868,3800807735,5.0e-8
100,1.0,0.01,0.25,6759,1.0e-5,1.0e-5,0.0001,50,35,0.1,3890787807,258031862,2339884937,4141766786,0.05
100,1.0,0.01,0.25,8511,1.0e-5,1.0e-5,0.0001,50,31,0.1,56823837,4222257505,2370843839,3879671079,5.0e-8
100,1.0,0.01,0.25,22394,1.0e-5,1.0e-5,0.0001,50,30,0.1,1545409143,3651889819,1608156790,1141167443,0.5
215,1.0,0.01,0.25,3758,1.0e-5,1.0e-5,0.0001,50,50,0.1,2868390950,2657315441,1408118041,1366658529,0.05
215,1.0,0.01,0.25,10721,1.0e-5,1.0e-5,0.0001,50,45,0.1,3202018861,2283948561,1049937002,3868895689,0.5
215,1.0,0.01,0.25,1744,1.0e-5,1.0e-5,0.0001,50,40,0.1,1832128442,1590422718,1422484702,737875007,0.05
100,1.0,0.01,0.25,9394,1.0e-5,1.0e-5,0.0001,50,9,0.1,3409262748,2575866712,1401153029,2466236141,5.0e-8
100,1.0,0.01,0.25,15163,1.0e-5,1.0e-5,0.0001,50,48,0.1,2885765257,1739813107,2430636636,2133946450,0.5
100,1.0,0.01,0.25,27312,1.0e-5,1.0e-5,0.0001,50,6,0.1,3256010333,4107579062,3692113320,3387617127,0.5
100,1.0,0.01,0.25,30555,1.0e-5,1.0e-5,0.0001,50,5,0.1,4032093379,1771330074,376828280,3520463567,0.5
215,1.0,0.01,0.25,1156,1.0e-5,1.0e-5,0.0001,50,40,0.1,64246037,870189515,984299041,3212783897,5.0e-8
100,1.0,0.01,0.25,19217,1.0e-5,1.0e-5,0.0001,50,26,0.1,4259371958,974414055,775547379,1990418221,0.5
100,1.0,0.01,0.25,8437,1.0e-5,1.0e-5,0.0001,50,3,0.1,837317562,120982444,2153018850,1841465328,5.0e-8
100,1.0,0.01,0.25,13895,1.0e-5,1.0e-5,0.0001,50,5,0.1,2935815068,1145708235,1477553087,2921422533,0.05
100,1.0,0.01,0.25,11321,1.0e-5,1.0e-5,0.0001,50,8,0.1,181779186,1551792024,1582311215,1498871780,0.05
215,1.0,0.01,0.25,1095,1.0e-5,1.0e-5,0.0001,50,39,0.1,3069345541,1544291723,3905173335,4111611666,5.0e-8
215,1.0,0.01,0.25,10691,1.0e-5,1.0e-5,0.0001,50,19,0.1,558694386,3842098163,1580221807,1987783918,0.5
215,1.0,0.01,0.25,2622,1.0e-5,1.0e-5,0.0001,50,23,0.1,1307639853,3176469905,240330237,1141826052,0.5
215,1.0,0.01,0.25,6794,1.0e-5,1.0e-5,0.0001,50,34,0.1,1833877435,2744770092,3541467368,1236568163,0.05
100,1.0,0.01,0.25,30802,1.0e-5,1.0e-5,0.0001,50,47,0.1,3574229805,3604254351,4202068892,2961641532,0.5
100,1.0,0.01,0.25,26660,1.0e-5,1.0e-5,0.0001,50,41,0.1,2169900339,176036122,947780164,1350019857,0.5
215,1.0,0.01,0.25,3376,1.0e-5,1.0e-5,0.0001,50,48,0.1,4078053038,1336738415,2784446510,3480416811,5.0e-8
215,1.0,0.01,0.25,2770,1.0e-5,1.0e-5,0.0001,50,42,0.1,586298643,1810441668,1397499486,3021218724,5.0e-8
100,1.0,0.01,0.25,36034,1.0e-5,1.0e-5,0.0001,50,8,0.1,1402501710,896931352,785536866,2521115571,0.5
100,1.0,0.01,0.25,33901,1.0e-5,1.0e-5,0.0001,50,18,0.1,4256201751,4190812017,3506546621,373322179,0.5
215,1.0,0.01,0.25,6589,1.0e-5,1.0e-5,0.0001,50,7,0.1,2522284946,554097863,3805452573,2460978325,5.0e-8
215,1.0,0.01,0.25,14972,1.0e-5,1.0e-5,0.0001,50,28,0.1,681091471,409743880,12575276,1589536587,0.5
100,1.0,0.01,0.25,33724,1.0e-5,1.0e-5,0.0001,50,20,0.1,4069791572,4415102,3146300234,1473296487,0.5
