K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
100,1.0,0.01,0.25,37,-0.01,1.0e-5,0.0,50,48,0.0,1237014783,1192431747,833391180,1096125332,0.5
100,1.0,0.01,0.25,2502,-0.01,1.0e-5,0.0,50,1,0.0,2551004629,4293123623,1744098252,1371536515,0.5
100,1.0,0.01,0.25,2125,-0.01,1.0e-5,0.0,50,23,0.0,3184627913,2400544475,1038505550,820747622,0.5
100,1.0,0.01,0.25,1887,-0.01,1.0e-5,0.0,50,45,0.0,429098220,2130014467,1454708754,1750177371,0.5
100,1.0,0.01,0.25,1592,-0.01,1.0e-5,0.0,50,31,0.0,1688167999,3911599745,69603588,3919909801,0.05
100,1.0,0.01,0.25,9046,-0.01,1.0e-5,0.0,50,30,0.0,1252519347,4118156963,1318794157,635405255,0.5
100,1.0,0.01,0.25,3906,-0.01,1.0e-5,0.0,50,39,0.0,1297832925,4055261000,892672075,643927445,0.05
100,1.0,0.01,0.25,7138,-0.01,1.0e-5,0.0,50,9,0.0,1928868928,1644570355,2297166915,141662035,0.5
100,1.0,0.01,0.25,2108,-0.01,1.0e-5,0.0,50,5,0.0,2961936919,2356155684,1320934105,467530796,5.0e-8
100,1.0,0.01,0.25,2428,-0.01,1.0e-5,0.0,50,16,0.0,2472045485,2190216046,1355709878,472079403,0.05
100,1.0,0.01,0.25,1125,-0.01,1.0e-5,0.0,50,46,0.0,1073049596,702131612,829044739,3307715712,5.0e-8
100,1.0,0.01,0.25,3247,-0.01,1.0e-5,0.0,50,44,0.0,3542196438,3878707092,686979874,784633680,0.5
100,1.0,0.01,0.25,10282,-0.01,1.0e-5,0.0,50,4,0.0,3084068663,3835580386,134618461,4024806547,0.5
464,1.0,0.01,0.25,1511,-0.01,1.0e-5,0.0,50,8,0.0,2003937706,897360575,2399399931,1374899083,0.5
100,1.0,0.01,0.25,4642,-0.01,1.0e-5,0.0,50,37,0.0,3279313771,1971519719,1981635071,457346160,5.0e-8
100,1.0,0.01,0.25,4928,-0.01,1.0e-5,0.0,50,29,0.0,1341187365,2022357423,883040373,955324778,0.05
215,1.0,0.01,0.25,5568,-0.01,1.0e-5,0.0,50,28,0.0,3224506087,266188506,849142367,1506990736,0.5
100,1.0,0.01,0.25,4484,-0.01,1.0e-5,0.0,50,39,0.0,1326041505,4007731208,1306269921,190916254,5.0e-8
215,1.0,0.01,0.25,932,-0.01,1.0e-5,0.0,50,9,0.0,118042031,3362023029,3234903553,4129269696,0.5
100,1.0,0.01,0.25,6483,-0.01,1.0e-5,0.0,50,21,0.0,1324056976,1705590959,3924415054,4078376242,0.05
100,1.0,0.01,0.25,4599,-0.01,1.0e-5,0.0,50,2,0.0,1540317928,1697595792,3804721939,66482338,5.0e-8
215,1.0,0.01,0.25,1259,-0.01,1.0e-5,0.0,50,31,0.0,184333734,1194268538,4096782084,2350181453,0.5
215,1.0,0.01,0.25,2030,-0.01,1.0e-5,0.0,50,2,0.0,1487209873,3080440215,392550685,2100410500,0.5
215,1.0,0.01,0.25,1922,-0.01,1.0e-5,0.0,50,49,0.0,325598627,4211966646,2560779171,2855257904,5.0e-8
100,1.0,0.01,0.25,16981,-0.01,1.0e-5,0.0,50,7,0.0,654283376,2288511040,3672852802,1658943771,0.5
215,1.0,0.01,0.25,4073,-0.01,1.0e-5,0.0,50,12,0.0,2480205649,1325836253,834373851,2629819808,0.5
215,1.0,0.01,0.25,3811,-0.01,1.0e-5,0.0,50,30,0.0,4214903804,3104223613,3804526472,1217196582,5.0e-8
215,1.0,0.01,0.25,3056,-0.01,1.0e-5,0.0,50,35,0.0,3819816148,2584252163,2571894006,1418486553,5.0e-8
100,1.0,0.01,0.25,1336,-0.01,1.0e-5,0.0,50,44,0.0,3980046925,2215536608,2372880979,545322381,5.0e-8
100,1.0,0.01,0.25,3264,-0.01,1.0e-5,0.0,50,49,0.0,3157613483,1289752520,1585434487,3787382742,5.0e-8
100,1.0,0.01,0.25,6527,-0.01,1.0e-5,0.0,50,32,0.0,2776572899,1121055448,469299787,1630921119,0.5
215,1.0,0.01,0.25,10101,-0.01,1.0e-5,0.0,50,1,0.0,1982891940,3940587702,1898692363,1058955120,0.5
100,1.0,0.01,0.25,5463,-0.01,1.0e-5,0.0,50,20,0.0,2329086316,851831005,1880820477,1408215382,5.0e-8
215,1.0,0.01,0.25,5439,-0.01,1.0e-5,0.0,50,36,0.0,2553343341,1155593520,218553647,4004757267,0.05
215,1.0,0.01,0.25,1218,-0.01,1.0e-5,0.0,50,7,0.0,1268854716,2252074250,1254538978,1942794825,5.0e-8
215,1.0,0.01,0.25,4155,-0.01,1.0e-5,0.0,50,25,0.0,511133715,3362676268,558339530,2526708953,0.05
100,1.0,0.01,0.25,11034,-0.01,1.0e-5,0.0,50,24,0.0,3370294422,3283220080,2960505039,3550989477,0.5
100,1.0,0.01,0.25,23831,-0.01,1.0e-5,0.0,50,2,0.0,3184444195,1816084434,2781071306,2914056809,0.5
464,1.0,0.01,0.25,1081,-0.01,1.0e-5,0.0,50,24,0.0,2471318405,2693800841,1391234716,2278209835,0.05
100,1.0,0.01,0.25,11732,-0.01,1.0e-5,0.0,50,38,0.0,1305907873,3537455268,992248182,2960473566,5.0e-8
215,1.0,0.01,0.25,4086,-0.01,1.0e-5,0.0,50,5,0.0,1511406771,4246981633,1331957755,3530666391,5.0e-8
464,1.0,0.01,0.25,232,-0.01,1.0e-5,0.0,50,28,0.0,82878603,3796430141,788164777,392168514,5.0e-8
100,1.0,0.01,0.25,9498,-0.01,1.0e-5,0.0,50,36,0.0,3587911386,1036639127,3773984403,2180732952,5.0e-8
215,1.0,0.01,0.25,16578,-0.01,1.0e-5,0.0,50,20,0.0,1797932369,2204575617,751797507,4185374085,0.5
464,1.0,0.01,0.25,7194,-0.01,1.0e-5,0.0,50,47,0.0,2878911842,1377372196,70620326,196437730,0.5
464,1.0,0.01,0.25,5809,-0.01,1.0e-5,0.0,50,35,0.0,2356219153,3449235114,2736969327,3120589076,0.5
215,1.0,0.01,0.25,4399,-0.01,1.0e-5,0.0,50,19,0.0,2931899102,2580259127,105831221,3780633947,0.5
464,1.0,0.01,0.25,2986,-0.01,1.0e-5,0.0,50,15,0.0,414669135,2560363390,3857042647,523506280,0.05
464,1.0,0.01,0.25,519,-0.01,1.0e-5,0.0,50,6,0.0,2060488324,1128916650,374934345,2811422707,5.0e-8
215,1.0,0.01,0.25,6550,-0.01,1.0e-5,0.0,50,28,0.0,913332085,1225268792,3765883336,4068208280,0.05
100,1.0,0.01,0.25,11541,-0.01,1.0e-5,0.0,50,35,0.0,3571152303,1217124626,76241783,2123708561,0.05
100,1.0,0.01,0.25,7962,-0.01,1.0e-5,0.0,50,22,0.0,41122671,2858145089,4208577431,970319941,0.05
100,1.0,0.01,0.25,11930,-0.01,1.0e-5,0.0,50,22,0.0,176613686,2831268697,3438288323,2332062348,5.0e-8
1000,1.0,0.01,0.25,1110,-0.01,1.0e-5,0.0,50,26,0.0,21475879,1979228524,3358357068,384954613,0.5
100,1.0,0.01,0.25,29172,-0.01,1.0e-5,0.0,50,25,0.0,3360168142,3918399323,3691447540,477465502,0.5
215,1.0,0.01,0.25,7734,-0.01,1.0e-5,0.0,50,43,0.0,1830867613,707046851,236954279,4082938707,0.5
100,1.0,0.01,0.25,34336,-0.01,1.0e-5,0.0,50,27,0.0,2870542012,799470063,3804973051,1559337572,0.5
100,1.0,0.01,0.25,14720,-0.01,1.0e-5,0.0,50,47,0.0,1454612305,2256800400,721079728,401534474,0.05
215,1.0,0.01,0.25,9209,-0.01,1.0e-5,0.0,50,22,0.0,3488801308,3412460289,4104631822,4102012757,0.05
100,1.0,0.01,0.25,21331,-0.01,1.0e-5,0.0,50,11,0.0,1598701556,1149771711,774048956,3791922495,0.5
464,1.0,0.01,0.25,1683,-0.01,1.0e-5,0.0,50,18,0.0,2338875399,3407151504,3677863396,2191617740,5.0e-8
464,1.0,0.01,0.25,3670,-0.01,1.0e-5,0.0,50,47,0.0,4084103736,258677093,618741803,2727546617,0.05
215,1.0,0.01,0.25,7562,-0.01,1.0e-5,0.0,50,45,0.0,3981653111,4112004427,41889536,4235320275,0.05
215,1.0,0.01,0.25,7962,-0.01,1.0e-5,0.0,50,15,0.0,2538739684,2719946801,2158542026,2810214207,0.05
464,1.0,0.01,0.25,1978,-0.01,1.0e-5,0.0,50,40,0.0,3183226071,2323365669,363517304,3858949963,0.05
100,1.0,0.01,0.25,25607,-0.01,1.0e-5,0.0,50,26,0.0,36942207,2482210591,1726071376,2432930626,0.5
215,1.0,0.01,0.25,5466,-0.01,1.0e-5,0.0,50,25,0.0,2510897255,1991979355,1836389014,807610028,5.0e-8
100,1.0,0.01,0.25,5513,-0.01,1.0e-5,0.0,50,9,0.0,3376533427,2231357391,1626965129,888291813,0.05
100,1.0,0.01,0.25,41829,-0.01,1.0e-5,0.0,50,6,0.0,1077801923,4171555438,3950791328,2434931100,0.5
215,1.0,0.01,0.25,8292,-0.01,1.0e-5,0.0,50,11,0.0,2906231368,498640098,3586010422,2203921874,0.05
464,1.0,0.01,0.25,10336,-0.01,1.0e-5,0.0,50,43,0.0,3796044915,2157105629,3546901821,1575613415,0.5
1000,1.0,0.01,0.25,583,-0.01,1.0e-5,0.0,50,6,0.0,3580495796,2593320193,2738920212,1701900499,0.5
100,1.0,0.01,0.25,15588,-0.01,1.0e-5,0.0,50,15,0.0,3760590961,518597913,1000656812,1024274398,0.05
464,1.0,0.01,0.25,5765,-0.01,1.0e-5,0.0,50,16,0.0,260582526,1830876473,282047215,92365689,0.05
100,1.0,0.01,0.25,25955,-0.01,1.0e-5,0.0,50,29,0.0,3348270832,3969075137,2187543059,2418813324,0.5
464,1.0,0.01,0.25,1702,-0.01,1.0e-5,0.0,50,15,0.0,2766223715,67586374,2602003485,2387725476,5.0e-8
464,1.0,0.01,0.25,1764,-0.01,1.0e-5,0.0,50,20,0.0,2167094078,3285238002,1330465443,1987638888,5.0e-8
1000,1.0,0.01,0.25,4337,-0.01,1.0e-5,0.0,50,3,0.0,1921506131,1068481108,2562454607,3619251827,0.5
100,1.0,0.01,0.25,15180,-0.01,1.0e-5,0.0,50,25,0.0,799704448,3928074793,3577097967,3993212309,5.0e-8
464,1.0,0.01,0.25,924,-0.01,1.0e-5,0.0,50,1,0.0,1773315636,1188298996,2858016941,1137828990,5.0e-8
100,1.0,0.01,0.25,37783,-0.01,1.0e-5,0.0,50,37,0.0,2557103931,2630989334,3974122806,4271872599,0.5
464,1.0,0.01,0.25,1904,-0.01,1.0e-5,0.0,50,26,0.0,869904782,418296676,602543988,627468166,5.0e-8
215,1.0,0.01,0.25,25407,-0.01,1.0e-5,0.0,50,49,0.0,2861250311,1121815047,3393265427,1638813990,0.5
464,1.0,0.01,0.25,10184,-0.01,1.0e-5,0.0,50,41,0.0,1126442947,2443345539,3613183170,1240328849,0.5
100,1.0,0.01,0.25,10021,-0.01,1.0e-5,0.0,50,19,0.0,2041092360,1349730568,2877876763,2071854126,0.05
100,1.0,0.01,0.25,11517,-0.01,1.0e-5,0.0,50,12,0.0,721276307,3387934157,1298781404,4141823855,5.0e-8
215,1.0,0.01,0.25,5979,-0.01,1.0e-5,0.0,50,16,0.0,2188907651,2944921868,3843323098,97201015,5.0e-8
464,1.0,0.01,0.25,4158,-0.01,1.0e-5,0.0,50,12,0.0,2107249361,3878527531,3469127902,2954643362,0.05
1000,1.0,0.01,0.25,1070,-0.01,1.0e-5,0.0,50,18,0.0,3004560251,2101343311,3744525128,3839821831,0.5
464,1.0,0.01,0.25,1926,-0.01,1.0e-5,0.0,50,39,0.0,2483916514,2145680017,185519584,3584487457,5.0e-8
215,1.0,0.01,0.25,5863,-0.01,1.0e-5,0.0,50,45,0.0,714868824,2298920021,4047139889,2449041227,5.0e-8
464,1.0,0.01,0.25,11820,-0.01,1.0e-5,0.0,50,32,0.0,685395792,2598078941,3583529224,2795094210,0.5
100,1.0,0.01,0.25,14001,-0.01,1.0e-5,0.0,50,13,0.0,2618155082,3227149444,3608776219,3423000853,5.0e-8
464,1.0,0.01,0.25,4796,-0.01,1.0e-5,0.0,50,38,0.0,1854611328,2528673955,3356400542,913330942,0.5
215,1.0,0.01,0.25,12538,-0.01,1.0e-5,0.0,50,34,0.0,3646068372,2157665966,1377704976,2993211228,0.05
464,1.0,0.01,0.25,8568,-0.01,1.0e-5,0.0,50,10,0.0,3539384874,1846312444,3086465660,1732302160,0.5
215,1.0,0.01,0.25,17093,-0.01,1.0e-5,0.0,50,22,0.0,3874408138,3621266504,3067842119,1742235019,0.5
464,1.0,0.01,0.25,752,-0.01,1.0e-5,0.0,50,49,0.0,3465620894,721548426,1125522647,4114500187,5.0e-8
215,1.0,0.01,0.25,1023,-0.01,1.0e-5,0.0,50,37,0.0,1631587198,2688228949,4275723472,29332716,0.05
100,1.0,0.01,0.25,53283,-0.01,1.0e-5,0.0,50,5,0.0,2781759974,2499282883,2870593256,1219641295,0.5
464,1.0,0.01,0.25,1880,-0.01,1.0e-5,0.0,50,9,0.0,2435926212,4074860185,468635321,431904991,5.0e-8
100,1.0,0.01,0.25,49737,-0.01,1.0e-5,0.0,50,16,0.0,2791316642,2807667107,2991568072,2691938879,0.5
464,1.0,0.01,0.25,1706,-0.01,1.0e-5,0.0,50,23,0.0,3248662918,489681901,1659803563,1061010006,5.0e-8
100,1.0,0.01,0.25,21507,-0.01,1.0e-5,0.0,50,8,0.0,1106103296,2361536814,3462308335,2329773176,5.0e-8
100,1.0,0.01,0.25,21628,-0.01,1.0e-5,0.0,50,43,0.0,1337023584,1069431619,3236186614,1114040374,5.0e-8
464,1.0,0.01,0.25,1943,-0.01,1.0e-5,0.0,50,29,0.0,3222753717,2165641907,2939423027,3008783989,5.0e-8
100,1.0,0.01,0.25,20977,-0.01,1.0e-5,0.0,50,3,0.0,3978840467,4052300222,233122726,3688693405,0.05
464,1.0,0.01,0.25,16182,-0.01,1.0e-5,0.0,50,4,0.0,360260290,1710114633,3672874087,862391935,0.5
100,1.0,0.01,0.25,9481,-0.01,1.0e-5,0.0,50,43,0.0,2648382433,324094706,2962779323,1456034506,0.05
100,1.0,0.01,0.25,52430,-0.01,1.0e-5,0.0,50,36,0.0,320559899,2221553314,795006705,2630365830,0.5
100,1.0,0.01,0.25,22528,-0.01,1.0e-5,0.0,50,35,0.0,184978653,266342988,2294742572,2473314005,5.0e-8
100,1.0,0.01,0.25,10399,-0.01,1.0e-5,0.0,50,21,0.0,1088014541,3899993528,2871193303,3978576433,5.0e-8
464,1.0,0.01,0.25,1298,-0.01,1.0e-5,0.0,50,37,0.0,4190331969,2898571952,3372764493,3174298276,5.0e-8
